time_s,dark_area_drawer_pull_roi_px,cabinet_roi_changed_px_vs_start,cabinet_roi_mean_absdiff_vs_start,gripper_centroid_dist_to_middle_handle_proxy_px,gripper_white_centroid_px,dark_bbox_drawer_pull_roi
0.0,2495,0,0.0,67.76792968825653,"[130.97154323239693, 189.64514167578744]","[135, 105, 199, 208]"
1.0,2630,121,0.8596626984126984,68.64976318721077,"[131.27311799947904, 191.07970825735867]","[135, 105, 199, 208]"
2.0,2630,181,1.2476984126984128,68.97846189809668,"[131.30121584520853, 191.5361485161459]","[135, 105, 199, 208]"
3.0,2629,288,1.597857142857143,68.9231644859667,"[131.33960784313726, 191.4962091503268]","[135, 105, 199, 208]"
4.0,2632,136,1.117043650793651,64.476251679825,"[131.3344456803856, 185.49919663824002]","[135, 105, 199, 208]"
5.0,2604,121,0.9819642857142857,63.7129158471666,"[129.67018125814477, 182.73652410851795]","[135, 105, 199, 208]"
6.0,2632,121,0.982420634920635,66.24192264350764,"[129.91170683718641, 186.5800541072307]","[135, 105, 199, 208]"
7.0,2575,122,0.9917658730158728,63.64433776598068,"[128.23559069554256, 181.06141858599747]","[140, 105, 199, 208]"
8.0,2461,231,2.075892857142857,60.878167425886375,"[128.7647187329328, 177.40546149645002]","[135, 105, 199, 208]"
9.0,2305,387,3.187519841269841,58.91687805635169,"[129.9683132401579, 175.77339165688682]","[135, 105, 199, 208]"
10.0,2247,510,4.262242063492063,58.14507732157236,"[130.6609261787252, 175.40354930169065]","[135, 105, 199, 208]"
11.0,2276,526,4.291626984126983,58.18565652646703,"[130.56578394283312, 175.3497267759563]","[135, 105, 199, 208]"
12.0,2272,567,4.603710317460318,58.1487394766174,"[130.722297934794, 175.48569032393334]","[135, 105, 199, 208]"
13.0,2281,539,5.180436507936508,57.710155124983686,"[130.86545643153528, 174.96296680497926]","[135, 105, 199, 208]"
14.0,2306,538,5.264722222222223,58.13563570862167,"[130.8529994783516, 175.6264997391758]","[135, 105, 199, 208]"
15.0,2389,524,5.089186507936509,58.608618825624305,"[130.53632816619213, 175.98681851734682]","[135, 105, 199, 208]"
16.0,2400,598,5.4382738095238095,60.48274538192903,"[129.6301475445937, 177.83296630698084]","[135, 105, 199, 208]"
17.0,3125,1031,7.777896825396825,61.72684757280008,"[128.96829158203565, 178.97777025502143]","[137, 105, 199, 208]"
18.0,3277,1155,8.49688492063492,61.83266980384446,"[129.18952785858133, 179.39874692324906]","[136, 105, 199, 208]"
19.0,3488,1379,10.072738095238096,62.69797369737583,"[129.29698692438885, 180.83138146674247]","[135, 105, 199, 208]"
20.0,4794,2048,15.523670634920636,66.68425189435847,"[128.73217435122197, 186.0376669186193]","[135, 105, 199, 208]"
21.0,5137,2039,15.49672619047619,67.83971167833889,"[127.12238119570772, 186.0447112927951]","[135, 105, 199, 208]"
22.0,5125,2031,15.48329365079365,67.94649751795532,"[127.21524949083502, 186.29455193482687]","[135, 105, 199, 208]"
23.0,5124,2029,15.482797619047618,67.80906040032859,"[127.47483838255799, 186.3643047281024]","[135, 105, 199, 208]"
24.0,5076,2025,15.457658730158732,67.72201090780719,"[127.32397191574725, 186.08412738214645]","[135, 105, 199, 208]"
25.0,4975,2033,15.433650793650795,67.08930919265565,"[127.54656923458013, 185.40302204607383]","[135, 105, 199, 208]"
26.0,4901,2040,15.453055555555556,66.29737378634786,"[127.35747974362076, 184.0471641069053]","[135, 105, 199, 208]"
27.0,4841,2038,15.48017857142857,65.9241926537268,"[127.13857006217121, 183.2556193208991]","[135, 105, 199, 208]"
28.0,4583,1977,14.97626984126984,64.8917596123856,"[127.26661985018727, 181.84854868913857]","[135, 105, 199, 208]"
29.0,4445,1882,14.403214285714286,64.1703207608194,"[127.05689933195117, 180.50184289334254]","[135, 105, 199, 208]"
30.0,4442,1889,14.39202380952381,64.2719926871228,"[126.95844843462247, 180.54293278084714]","[135, 105, 199, 208]"
